title,publishedAt,source,url,tesla_sentences,title_sentiment_score,title_sentiment_magnitude
"Tesla Sets Sights on Waymo, Uber in California Ridesharing Bid",2025-02-28T06:00:50Z,Insurance Journal,https://www.insurancejournal.com/news/west/2025/02/28/813703.htm,Tesla Inc. | Tesla Inc.,0.10000000149011612,0.10000000149011612
Rivian’s R1S electric SUV just got way cheaper to lease,2025-02-28T21:38:58Z,Electrek,http://electrek.co/2025/02/28/rivian-r1s-electric-suv-way-cheaper-lease/,"It may even be a better deal than the new Tesla Model Y.



 more… | It may even be a better deal than the new Tesla Model Y.
Rivians R1S is one of the hottest electric SUVs… [+2008 chars]",-0.4000000059604645,0.4000000059604645
Bike ride planned to ‘Tesla Takedown’ this Saturday,2025-02-27T21:42:30Z,Bikeportland.org,https://bikeportland.org/2025/02/27/bike-ride-planned-to-tesla-takedown-this-saturday-393001,"This Saturday, March 1st, Portland will join 74 other cities in a protest against Tesla, the company owned by Elon Musk.",0.0,0.0
"'Does He WANT Kicked Out?!' Prince Harry 'Attacks' Donald Trump, Prez's First Buddy Elon Musk and MAGA — Despite His U.S. Visa Drugs Row that Could See Him Booted From America",2025-02-28T22:00:00Z,Radaronline.com,https://radaronline.com/p/prince-harry-attacks-donald-trump-elon-musk-maga-visa-drugs/,"Harry also urged ""those with positions of influence"" to help put an end to ""misinformation"" on social media.
While the royal did not specifically name Trump or the Tesla billionaire in his speech, m… [+364 chars]",-0.20000000298023224,0.6000000238418579
"Volkswagen ID.4 was the best-selling EV in Europe, top 3 in the US last month",2025-02-28T17:22:37Z,Electrek,http://electrek.co/2025/02/28/volkswagen-id-4-best-selling-ev-europe-top-3-us-jan/,"Last month, the Volkswagen ID.4 topped Tesla’s Model Y to become the best-selling EV in Europe, and it was even in the top three in the US.



 more… | Last month, the Volkswagen ID.4 topped Tesla’s Model Y to become the best-selling EV in Europe, and it was even in the top three in the US.
Although n… [+2955 chars]",0.800000011920929,0.800000011920929
Dems are icing out Tesla lobbyists over Elon Musk's Trump ties (Marie J. French/Politico),2025-02-27T19:45:08Z,Memeorandum.com,https://www.memeorandum.com/250227/p96,"French / Politico:
Dems are icing out Tesla lobbyists over Elon Musk's Trump ties  —  Tesla's campaigns to sell its electric vehicles directly to consumers, bypassing traditional dealerships, face more challenges in Democratic statehouses as Musk's n…",-0.6000000238418579,0.6000000238418579
TSMC To Manufacture The Latest FSD Chips On Its 4nm – 5nm Process As Tesla Starts Gearing Up For Unsupervised FSD And Robotaxi,2025-02-28T10:24:13Z,Wccftech,https://wccftech.com/tsmc-to-manufacture-the-latest-fsd-chips-on-its-4nm-5nm-process-as-tesla-starts-gearing-up-for-unsupervised-fsd-and-robotaxi/,"Tesla shares have been losing ground for over a month now, with the retreat largely a function of Elon Musk's growing political role and Tesla's slowing sales momentum, particularly in the EU. | While some sales stagnation was expected as Tesla retires the olde… | Wccftech.com has a disclosure and ethics policy.
Tesla shares have been losing ground for over a month now, … [+2887 chars]",-0.10000000149011612,0.10000000149011612
Xiaomi’s supercar expected to meet annual target overnight with over 10k orders,2025-02-28T09:59:28Z,TechNode,http://technode.com/2025/02/28/xiaomis-supercar-expected-to-meet-annual-target-overnight-with-over-10k-orders/,"Xiaomi looks to “redefine premium cars for this generation” with a combination of performance features that compete with Porsche, technological functions similar to Tesla, and luxury comparable to German carmakers.",0.10000000149011612,0.10000000149011612
Woman suspected in Colorado Tesla dealership vandalism charged in federal court,2025-02-27T23:21:41Z,Boston Herald,https://www.bostonherald.com/2025/02/27/tesla-vandalism-federal-charges/,"By COLLEEN SLEVIN
DENVER (AP) — Federal prosecutors have charged a woman in a string of vandalism against a Colorado Tesla dealership, including throwing Molotov cocktails at vehicles and spray pain… [+3342 chars]",-0.699999988079071,0.699999988079071
Musk’s Global War on Unions: Taking on Tesla from the Showrooms to the Plants,2025-02-28T06:52:37Z,CounterPunch,https://www.counterpunch.org/2025/02/28/musks-global-war-on-unions-taking-on-tesla-from-the-showrooms-to-the-plants/,"Last Saturday was a cold, blustery but sunny day in Chicago, when twenty-five of us picketed Tesla’s showroom at 900 N. | Picket at Tesla showroom, Chicago, Illinois.
Last Saturday was a cold, blustery but sunny day in Chicago, when twenty-five of us picketed Teslas showroom at 900 N.",0.0,0.0
California Tesla drivers feel conflicted about their cars over Musk,2025-02-28T23:57:32Z,NPR,https://www.npr.org/2025/02/28/nx-s1-5308091/california-tesla-drivers-feel-conflicted-about-their-cars-over-musk,"But as Tesla CEO Elon Musk takes a central role in President Trump's administration, some Tesla drivers are feeling conflicted. | But as Tesla CEO Elon Musk takes a central role in President Trump's administration, some Tesla drivers are feeling conflicted.",-0.800000011920929,0.800000011920929
Today in Germany: A roundup of the latest news on Thursday,2025-02-27T07:10:32Z,The Local Germany,https://www.thelocal.de/20250227/today-in-germany-a-roundup-of-the-latest-news-on-thursday-62,"Strikes hit Munich and Hamburg airports, Merz visits Paris for talks with Macron, Lars Klingbeil elected SPD parliamentary group leader, police probe arson attack linked to Tesla plant and more news this Thursday from Germany.",0.0,0.0
Musk vs. Altman: The fight over OpenAI,2025-02-27T19:09:00Z,The Week Magazine,https://theweek.com/tech/musk-altman-openai-fight,"Somehow, in between gutting the federal government and running Tesla and SpaceX, Elon Musk has found time to launch a $97.4 billion takeover bid for OpenAI, said Kelsey Piper in Vox.",-0.10000000149011612,0.10000000149011612
Data show Tesla sales declined sharply in Europe,2025-02-27T22:11:09Z,NPR,https://www.npr.org/2025/02/27/nx-s1-5311609/tesla-sales-europe,"New data out this week shows a sharp decline in Tesla sales in Europe. | Tesla sales have dropped sharply in the European market, as the U.S.-based electric carmaker faces both business headwinds and public blowback against the unprecedented political activity of its chie… [+3359 chars]",-0.699999988079071,0.699999988079071
Victor Reacts: A Pattern of Transgender Violence has Emerged (VIDEO),2025-02-28T00:40:39Z,Thegatewaypundit.com,https://www.thegatewaypundit.com/2025/02/victor-reacts-pattern-transgender-violence-has-emerged-video/,"A troubling pattern of violence targeting the transgender community is emerging, highlighted by the recent arrest of a transgender activist involved in bomb-related incidents at a Tesla dealership.
The post Victor Reacts: A Pattern of Transgender Violence has… | A man who identifies as a woman has been arrested for allegedly leaving explosive devices at a Tesla dealership.A transgender… [+1728 chars]",0.0,0.0
Jim Cramer Says Tesla Shares Rallied Because of Elon Musk’s ‘Showmanship’,2025-02-27T16:18:37Z,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_96eaf951-6819-4bba-9bc8-b31d2e5126e5,"In this article, we are going to take a look at where Tesla, Inc.",-0.20000000298023224,0.20000000298023224
Tesla class action in Australia alleges misleading ‘autonomous driving’ claims and ‘phantom braking’,2025-02-27T02:15:34Z,Drive.com.au,https://www.drive.com.au/news/tesla-class-action-in-australia-alleges-misleading-autonomous-driving-claims-and-phantom-braking/,"A class action has been lodged in the Federal Court against Tesla, alleging issues with ‘Autopilot’ and ‘Tesla Vision'. | Both cars currently on sale in Australia made in Teslas Shanghai, China factory use eight cameras for features including AEB, Forward Collision Warning, Blind Spot Collision Warning and Lane Departur… [+11 chars]",-0.800000011920929,0.800000011920929
"This automaker is eying EV segment Elon Musk, Tesla are ignoring",2025-02-28T11:42:45Z,Biztoc.com,https://biztoc.com/x/9f44adef041114a1,"Apart from its Full-Self Driving technology, one Tesla (TSLA) product that has been the subject of CEO Elon Musk's overpromise is a more affordable Tesla EV.
During Tesla's Q4 2024 earnings call, Tesla CFO Vaibhav Taneja made a sly mention of it; however, Tes… | Apart from its Full-Self Driving technology, one Tesla (TSLA) product that has been the subject of CEO Elon Musk's overpromise is a more affordable Tesla EV.During Tesla's Q4 2024 earnings call, Tesl… [+147 chars]",-0.699999988079071,0.699999988079071
