date,vader_compound,vader_label
2024-12-25,0.0,NEUTRAL
2024-12-13,-0.931,NEGATIVE
2024-12-17,-0.1531,NEGATIVE
2024-12-04,0.0,NEUTRAL
2024-12-14,0.0,NEUTRAL
2024-12-10,0.25,POSITIVE
2024-12-13,-0.5996,NEGATIVE
2024-12-24,0.3612,POSITIVE
2024-12-20,0.5719,POSITIVE
2024-12-14,-0.6597,NEGATIVE
2024-12-28,0.0,NEUTRAL
2024-12-12,0.2732,POSITIVE
2024-12-17,-0.3182,NEGATIVE
2024-12-26,0.3162,POSITIVE
2024-12-14,0.4574,POSITIVE
2024-12-13,0.9019,POSITIVE
2024-12-28,0.4215,POSITIVE
2024-12-21,-0.7069,NEGATIVE
2024-12-28,0.6249,POSITIVE
2024-12-27,-0.8668,NEGATIVE
2024-12-11,0.4588,POSITIVE
2024-12-09,0.0,NEUTRAL
2024-12-19,-0.4767,NEGATIVE
2024-12-01,-0.5574,NEGATIVE
2024-12-02,0.3182,POSITIVE
2024-12-14,-0.3182,NEGATIVE
2024-12-29,-0.9108,NEGATIVE
2024-12-21,0.4497,POSITIVE
2024-12-22,-0.3818,NEGATIVE
2024-12-28,-0.4215,NEGATIVE
2024-12-09,-0.8481,NEGATIVE
2024-12-23,0.4657,POSITIVE
2024-12-03,0.7193,POSITIVE
2024-12-23,0.4939,POSITIVE
2024-12-12,-0.3885,NEGATIVE
2024-12-07,0.4902,POSITIVE
2024-12-27,0.5255,POSITIVE
2024-12-05,0.5413,POSITIVE
2024-12-28,0.7883,POSITIVE
2024-12-25,-0.5423,NEGATIVE
2024-12-30,-0.5423,NEGATIVE
2024-12-04,-0.5267,NEGATIVE
2024-12-26,0.0194,NEUTRAL
2024-12-23,-0.5667,NEGATIVE
2024-12-18,0.2385,POSITIVE
2024-12-18,0.8885,POSITIVE
2024-12-02,-0.5574,NEGATIVE
2024-12-23,0.9099,POSITIVE
2024-12-09,0.2396,POSITIVE
2024-12-05,-0.6836,NEGATIVE
2024-12-28,0.9162,POSITIVE
2024-12-17,0.4215,POSITIVE
2024-12-22,-0.3736,NEGATIVE
2024-12-21,0.4404,POSITIVE
2024-12-19,0.9613,POSITIVE
2024-12-27,0.0,NEUTRAL
2024-12-26,0.2263,POSITIVE
2024-12-21,0.5255,POSITIVE
2024-12-27,0.0,NEUTRAL
2024-12-20,-0.0772,NEGATIVE
2024-12-23,0.383,POSITIVE
2024-12-21,0.3182,POSITIVE
2024-12-18,0.9215,POSITIVE
2024-12-22,0.2016,POSITIVE
2024-12-09,-0.4767,NEGATIVE
2024-12-20,0.651,POSITIVE
2024-12-17,-0.7684,NEGATIVE
2024-12-02,0.0,NEUTRAL
2024-12-12,0.5267,POSITIVE
2024-12-13,0.4753,POSITIVE
2024-12-01,-0.5423,NEGATIVE
2024-12-02,-0.5574,NEGATIVE
